Course Code,Course Name
  ECO372H1,Data Analysis and Applied Econometrics in Practice
  ECO374H1,Forecasting and Time Series Econometrics
  ECO375H1,Applied Econometrics I
  ECO380H1,"Markets, Competition, and Strategy"
  ECO381H1,Personnel Economics
  ECO398H0,Research Excursions
  ECO398Y0,Research Excursions
  ECO399Y1,Research Opportunity Program
  ECO401H1,Topics in Economic Policy
  ECO402H1,Topics in Health Economics
  ECO403H1,Topics in Development Economics and Policy
  ECO404H1,Topics in Managerial Economics
  ECO406H1,Developmental Macroeconomics
  ECO407H1,Competing Views in Macroeconomic Theory and Policy
  ECO409H1,"Topics in Money, Banking, and Finance"
  ECO410H1,Mergers and Competition Policy
  ECO414H1,Energy and Regulation
  ECO416H1,Macroeconometric Models for Policy Analysis and Forecasting
  ECO417H1,Economic Development Policy: Community Engaged Learning
  ECO418H1,Empirical Applications of Economic Theory
  ECO419H1,International Macroeconomics
  ECO420Y1,Special Topics in Economics
  ECO421H1,Special Topics in Economics
  ECO422H1,Special Topics in Economics
  ECO423H1,Economics and Biosocial Data
  ECO425H1,Business Cycles
  ECO426H1,Market Design
  ECO427H1,Economics of Information
  ECO428H1,Classical Economic Thought
  ECO429H1,Economic Thought after 1870
  ECO430Y1,Reading Course or Thesis
  ECO431H1,Reading Course or Thesis
  ECO434H1,Topics in Political Economy
  ECO435H1,The Economics of Modern China
  ECO437H1,Quantitative Macroeconomics
  ECO438H1,Topics in Behavioural Economics
  ECO439H1,Empirical Methods in Microeconomics
  ECO446H1,Advanced Public Economics
  ECO451H1,Macroeconomic Growth
  ECO456H1,Special Topics in Financial Economics
  ECO459H1,International Trade Regulation
  ECO461H1,The Economics of Financial Risk Management
  ECO462H1,Financial Econometrics
  ECO463H1,Financial Market Innovation
  ECO464H1,Empirical Financial Economics
  ECO465H1,International Finance
  ECO466H1,Empirical Macroeconomics and Policy 
  ECO475H1,Applied Econometrics II
  ECO499H1,Honours Essay in Applied Microeconomics
  EDS260H1,Equity and Diversity in Education 
  EDS261H1,Child and Adolescent Development in Education
  EDS262H1,Communication and Conflict Resolution in Education
  EDS265H1,Introduction to Teaching
  EDS356H1,Multiple Literacies in Education
  EDS357H1,Education in a Global Context
  EDS358H1,Residential Schools and Education in Canada
  EDS360H1,Education Internship
  EDS360Y0,Education Internship,International
  EDS360Y1,Education Internship
  EDS361H0,A Study of Chinese Literature and Culture
  EDS363H1,Teaching Math: The JUMP Approach
  EDS368H1,Special Topics in Education and Society
  EDS369H1,Special Topics in Education and Society
  EDS395Y0,Studies in Chinese Culture
  EEB125H1,Introductory Computation and Data Science for the Life and Physical Sciences
  EEB197H1,Biodiversity and the City
  EEB198H1,Genes and Behaviour
  EEB199H1,"Humans, Evolution and Ecology"
  EEB202H1,Plants and Society
  EEB208H1,Ecosystems and the Human Footprint
  EEB214H1,Evolution and Adaptation
  EEB215H1,Conservation Biology
  EEB225H1,Biostatistics for Biological Sciences
  EEB255H1,Essentials of Biodiversity Science and Conservation Biology
  EEB263H1,Comparative Vertebrate Anatomy
  EEB266H1,Animal Diversity: Invertebrates
  EEB267H1,Animal Diversity: Vertebrates
  EEB268H1,Plant and Microbial Diversity
  EEB299H1,Research Opportunity Program
  EEB299Y1,Research Opportunity Program
  EEB313H1,Quantitative Methods in R for Biology
  EEB318H1,Principles of Evolution
  EEB319H1,Population Ecology
  EEB320H1,Dynamics of Ecosystem Processes
  EEB321H1,Community Ecology
  EEB322H1,Behaviour and Behavioural Ecology
  EEB323H1,Evolutionary Genetics
  EEB324H1,Evolutionary Ecology
  EEB325H1,Evolutionary Medicine
  EEB328H1,Physiological Ecology
  EEB331H1,Introduction to the Fungi
  EEB340H1,Comparative Plant Morphology
  EEB362H1,Macroevolution
  EEB365H1,Topics in Applied Conservation Biology
  EEB380H1,Diversity of Insects
  EEB382H1,Diversity of Fishes
  EEB384H1,Diversity of Amphibians and Reptiles
  EEB386H1,Diversity of Birds
  EEB388H1,Diversity of Mammals
  EEB390H1,Vertebrate Paleontology: Major Transitions in Vertebrate History
  EEB397Y1,Research Project in Ecology and Evolutionary Biology
  EEB398H0,Research Excursions
  EEB398Y0,Research Excursion
  EEB399H1,Research Opportunity Program
  EEB399Y1,Research Opportunity Program
  EEB403H0,Tropical Field Biology
  EEB403H1,Tropical Field Biology
  EEB405H0,Temperate Field Biology
  EEB405H1,Temperate Field Biology
  EEB406H0,Inter-University Field Course
  EEB406H1,Inter-University Field Course
  EEB407H0,Alpine Ecosystems
  EEB407H1,Alpine Ecosystems
  EEB410H0,Lake Ecosystem Dynamics
  EEB410H1,Lake Ecosystem Dynamics
  EEB428H1,Global Change Ecology
  EEB430H1,Modeling in Ecology and Evolution
  EEB433H1,Global Issues in Aquatic Ecosystems
  EEB440H1,Ecology and Evolution of Plant-Animal Interactions
  EEB441H1,Reproductive Strategies
  EEB455H1,"Genes, Environment and Behaviour"
  EEB459H1,Population Genetics
  EEB460H1,Molecular Evolution and Genomics
  EEB462H1,Phylogenetic Systematics
  EEB465H1,Advanced Topics in Biodiversity Science and Conservation Biology
  EEB466H1,Approaches to the Study of Biodiversity
  EEB488H1,Research Issues in Ecology and Evolutionary Biology
  EEB491H1,Seminar in Biodiversity and Conservation Biology
  EEB495H1,Seminar in Ecology and Evolutionary Biology
  EEB497H1,Research Studies in Ecology & Evolutionary Biology
  EEB498Y1,Advanced Research Project in Ecology and Evolutionary Biology
  EEB499Y1,Advanced Research Project in Ecology and Evolutionary Biology II
  EHJ352H1,Evolution of the Human Genome
  ENG100H1,Effective Writing
  ENG102H1,Literature and the Sciences
  ENG110Y1,Narrative
  ENG140Y1,Literature for our Time
  ENG150Y1,Literary Traditions
  ENG196H1,Cook the Books
  ENG197H1,Representing Disability
  ENG198H1,Monster Encounters: Monsters and the Monstrous in Literature
  ENG199H1,Tree Stories
  ENG201Y1,Reading Poetry
  ENG202H1,Introduction to British Literature I
  ENG203H1,Introduction to British Literature II
  ENG205H1,Rhetoric
  ENG210H1,Introduction to the Novel
  ENG213H1,The Short Story
  ENG215H1,The Canadian Short Story
  ENG220H1,Introduction to Shakespeare
  ENG234H1,Children's Literature
  ENG235H1,The Graphic Novel
  ENG237H1,Science Fiction
  ENG239H1,Fantasy and Horror
  ENG240Y1,Old English Language and Literature
  ENG250H1,Introduction to American Literature
  ENG252H1,Introduction to Canadian Literature
  ENG254H1,Introduction to Indigenous Literatures 
  ENG269H1,English Literature and Chinese Translation
  ENG270H1,Introduction to Colonial and Postcolonial Writing
  ENG273Y1,Queer Writing
  ENG280H1,Critical Approaches to Literature
  ENG281H1,Writing About Literature
  ENG285H1,The English Language in the World
  ENG287H1,The Digital Text
  ENG289H1,Introduction to Creative Writing
  ENG296Y0,Topics in English Literature
  ENG297Y0,Topics in English Literature
  ENG299Y1,Research Opportunity Program
  ENG300Y1,Chaucer
  ENG302Y1,English Renaissance Literature
  ENG303H1,Milton
  ENG305H1,"Swift, Pope, and Their Contemporaries"
  ENG306Y1,Restoration and Eighteenth-Century Literature
  ENG308Y1,Romantic Literature
  ENG311H1,Medieval Literature
  ENG320Y1,Shakespeare
  ENG322Y1,The Rise of the Novel
  ENG323H1,Austen and Her Contemporaries
  ENG324Y1,The Victorian Novel
  ENG328Y1,Modern Fiction
  ENG329H1,Contemporary British Fiction
  ENG330H1,Medieval Drama
  ENG331H1,Drama 1485-1603
  ENG335H1,Drama 1603-1642
  ENG337H1,Drama 1660-1800
  ENG340H1,Modern Drama 
  ENG341H1,Post-Modern Drama
  ENG347Y1,Victorian Literature
  ENG348Y1,Modern Poetry to 1960
  ENG349H1,Contemporary Poetry
  ENG350H1,Early Canadian Literature
  ENG352H1,Canadian Drama
  ENG353Y1,Canadian Fiction
  ENG354Y1,Canadian Poetry
  ENG355Y1,Transnational Indigenous Literatures
  ENG356Y1,African Canadian Literature
  ENG357H1,New Writing in Canada
  ENG360H1,Early American Literature
  ENG363Y1,American Literature to 1900
  ENG364Y1,American Literature 1900 to the present
  ENG365H1,Contemporary American Fiction
  ENG367H1,African Literatures in English
  ENG368H1,Asian North American Literature 
  ENG369H1,South Asian Literatures in English 
  ENG370Y1,Postcolonial and Transnational Discourses
  ENG371H1,"Topics in Indigenous, Postcolonial, Transnational Literatures"
  ENG372H1,"Topics in Indigenous, Postcolonial, Transnational Literatures"
  ENG373H1,Topics in Pre-1800 British Literature
  ENG374H1,Topics in Pre-1800 British Literature
  ENG376H1,"Topics in Theory, Language, Critical Methods"
  ENG377H1,"Topics in Theory, Language, Critical Methods"
  ENG378H1,Special Topics
  ENG379H1,Special Topics
  ENG382Y1,Literary Theory
  ENG384Y1,Literature and Psychoanalysis
  ENG385H1,History of the English Language
  ENG388H1,Creative Writing
  ENG389H1,Creative Writing
  ENG390Y1,Individual Studies
  ENG391Y1,Individual Studies (Creative)
  ENG392H1,Individual Studies
  ENG393H1,Individual Studies (Creative)
  ENG398H0,Research Excursions
  ENG398Y0,Research Excursions
  ENG399Y1,Research Opportunity Program
  ENG480H1,Advanced Studies Seminar
  ENG481H1,Advanced Studies Seminar
  ENG482H1,Advanced Studies Seminar
  ENG483H1,Advanced Studies Seminar
  ENG484H1,Advanced Studies Seminar
  ENG485H1,Advanced Studies Seminar
  ENG486H1,Advanced Studies Seminar
  ENG487H1,Advanced Studies Seminar
  ENG488H1,Advanced Studies Seminar
  ENG489H1,Advanced Studies Seminar
  ENG499Y1,Advanced Research Seminar
  ENT200H1,Innovation and Entrepreneurship
  ENT299Y1,Research Opportunity Program
  ENT391H1,Exploring New Ventures
  ENT392Y1,Exploring New Ventures
  ENT399Y1,Research Opportunity Program
  ENV100H1,Introduction to Environmental Studies
  ENV198H1,Environment & Mental Wellness
  ENV199H1,Debating & Understanding Current Environmental Issues
  ENV200H1,Assessing Global Change: Science and the Environment
  ENV221H1,Multidisciplinary Perspectives on Environment
  ENV222H1,Pathways to Sustainability: An Interdisciplinary Approach
  ENV223H1,Fundamental Environmental Skills
  ENV234H1,Environmental Biology: Structure and Function of Ecosystems
  ENV237H1,Physics of the Changing Environment A
  ENV238H1,Physics of the Changing Environment B
  ENV261H1,Is the Internet Green?
  ENV262H1,The Science of Energy in the Environment
  ENV281H1,Special Topics in Environment
  ENV282H1,Special Topics in the Environment
  ENV299Y1,Research Opportunity Program
  ENV307H1,Urban Sustainability
  ENV316H1,Laboratory and Field Methods in Environmental Science
  ENV320H1,National Environmental Policy
  ENV322H1,International Environmental Policy
  ENV323H1,Ontario Environmental Policy
  ENV330H1,Waste Not: Faith-Based Environmentalism
  ENV333H1,Ecological Worldviews
  ENV334H1,Environmental Biology: Applied Ecology
  ENV335H1,Environmental Design
  ENV336H1,Ecology in Human-Dominated Environments
  ENV337H1,Human Interactions with the Environment
  ENV341H1,Planetary Health
  ENV346H1,Terrestrial Energy Systems
  ENV347H1,The Power of Economic Ideas
  ENV350H1,Energy Policy and Environment
  ENV361H1,Social Media and Environmentalism
  ENV362H1,Energy & Environment: Transitions in History
  ENV381H1,Special Topics in Environment
  ENV382H0,Special Topics Field Course in Environment
  ENV382H1,Special Topics in Environment
  ENV395Y0,Special Topics Field Course
  ENV395Y1,Special Topics Field Course
  ENV396H0,Special Topics Field Course
  ENV396Y0,Special Topics Field Course
  ENV398H0,Research Excursions
  ENV398Y0,Research Excursions
  ENV399Y1,Research Opportunity Program
  ENV411H1,Sustainability Thinking
  ENV421H1,Environmental Research
  ENV422H1,Environmental Law
  ENV430H1,Environment and Health in Vulnerable Populations
  ENV431H1,Urban Sustainability & Ecological Technology
  ENV432H1,Urban Ecology
  ENV440H1,Professional Experience Course
  ENV450H1,Energy and Environment Solutions
  ENV451H1,Current Environmental Topics
  ENV452H1,Environmental Science Seminar
  ENV461H1,The U of T Campus as a Living Lab of Sustainability 
  ENV462H1,"Energy and Environment: Economics, Politics, and Sustainability"
  ENV481H1,Special Topics in the Environment
  ENV482H1,Special Topics in the Environment
  ENV491Y1,Independent Studies Project
  ENV492H1,Independent Studies Project
  ENV493H1,Independent Studies Project
  ESS103H1,Geology in Public Issues
  ESS104H1,Controversies in Earth Science
  ESS105H1,Our home planet
  ESS196H1,Life and Death in the Solar System
  ESS197H1,Earth and Life through Time
  ESS198H1,Resources and Sustainability
  ESS199H1,"Earth, Portrait of a Planet"
  ESS205H1,Confronting Global Change
  ESS223H1,Earth System Chemistry 1: Earth Materials
  ESS224H1,Introduction to Mineralogy and Petrology
  ESS234H1,Introduction to Geological Field Methods
  ESS241H1,Geologic Structures and Maps
  ESS245H1,Computational Geology
  ESS261H1,Earth System Evolution
  ESS262H1,Earth System Processes
  ESS299Y1,Research Opportunity Program
  ESS311H1,Earth System Chemistry 2: Aqueous Geochemistry
  ESS312H1,Hydrogeology
  ESS321H1,Mineralogy
  ESS322H1,Igneous Petrology
  ESS323H1,Metamorphic Petrology
  ESS324H1,Advanced Geological Field Methods
  ESS331H1,Sedimentation and Stratigraphy
  ESS361H1,Atmosphere-Biosphere Interact
  ESS362H1,Oceanography
  ESS381H1,Special Topics in Earth Science
  ESS391H1,Directed Studies
  ESS392Y1,Directed Studies
  ESS398H0,Research Excursions
  ESS398Y0,Research Excursions
  ESS410H1,Field Techniques in Hydrogeochemistry
  ESS423H1,Mineral Deposits
  ESS425H1,Advanced Methods in the Geosciences
  ESS431H1,Basin Analysis
  ESS441H1,Advanced Structural Geology
  ESS445H1,Global Tectonics
  ESS450H1,Geophysical Field Techniques
  ESS452H1,Geophysical Imaging with Non-seismic Methods
  ESS461H1,Palaeoenvironmental Studies
  ESS462H1,Global Biogeochemical Cycles
  ESS464H1,Biological Perspectives on Earth System Evolution
  ESS481H1,Advanced Topics in Earth Sciences
  ESS490H1,Geological Capstone Fieldtrip
  ESS491H1,Undergraduate Thesis Project
  ESS492Y1,Undergraduate Thesis Project
  EST100H1,Elementary Estonian Language and Culture I
  EST101H1,Elementary Estonian Language and Culture II
  EST200H1,Intermediate Estonian Language and Culture I
  EST201H1,Intermediate Estonian Language and Culture II
  EST300Y1,Advanced Estonian
  EST400Y1,Estonian Literature from 1700
  EST420Y1,Independent Study
  EST421H1,Independent Study
  ETH201H1,Contemporary Moral Problems
  ETH210H1,Rationality and Action
  ETH220H1,Moral Psychology
  ETH230H1,Morality in Cross-Cultural Perspective
  ETH350H1,Topics in Value Theory
  ETH401H1,Seminar in Ethics
  EUR200Y1,Europe: Nation-State to Supranational Union
  EUR299Y1,Research Opportunity Program
  EUR398H0,Research Excursions
  EUR398Y0,Research Excursions
  EUR399Y1,Research Opportunity Program
  EUR495H1,Independent Studies
  EUR498H1,Special Topics in European Studies: European Union
  FAH101H1,Monuments of Art History
  FAH102H1,Art and Ideas
  FAH194H1,Public Art: Local and Global
  FAH195H1,On Foot: From Pilgrimage to the Mobile City
  FAH196H1,Marco Polo's World
  FAH197H1,Classical Art from Greek Gods to Roman Gladiators
  FAH198H1,"Shocking Artists, Shocking Art"
  FAH199H1,Architecture of Toronto
  FAH205H1,Clay: A Material and Visual History
  FAH206H1,Prehistoric Aegean and East Mediterranean Art and Archaeology
  FAH207H1,Greek and Roman Art and Archaeology
  FAH208H1,Heroes of the Classical World 
  FAH215H1,Early Medieval Art and Architecture
  FAH216H1,Later Medieval Art and Architecture
  FAH230H1,Renaissance Art and Architecture
  FAH231H1,Baroque Art and Architecture
  FAH245H1,"Modernism and anti-Modernism, c. 1750-1900"
  FAH246H1,Art Since 1900
  FAH248H1,Canadian Painting 1665-1960
  FAH252H1,Introduction to the History of Photography
  FAH255H1,Art of Indigenous North America
  FAH260H1,The Artistic Landscape of East Asia
  FAH262H1,Art and Visual Experience in Modern and Contemporary East Asia
  FAH265H1,Monuments of the Islamic World
  FAH270H1,Architecture: Rituals and Monuments
  FAH272H1,Modern Architecture from 1750 to the Present
  FAH273H1,Canada Buildings and Landscapes
  FAH280H1,Special Topics in Art History
  FAH299Y1,Research Opportunity Program
  FAH303H1,Emergence of Greek Civilisation
  FAH307H1,"Ancient Art, Migration, and the Barbarian ‘Other’"
  FAH308H1,"City of Athens: Art, Politics and Society"
  FAH309H1,City of Rome
  FAH310H1,Greek Vase Painting
  FAH311H1,Greek Sculpture
  FAH312H1,Art of the Hellenistic Age
  FAH313H1,Greek Myth in Ancient Art
  FAH314H1,Eroticism in Ancient Art
  FAH318H1,Monastic Art and Architecture
  FAH319H1,Illuminated Manuscripts
  FAH325H1,Urban Islam
  FAH326H1,Cultural History of Islamic Spain
  FAH327H1,Secular Art and Architecture of the Middle Ages
  FAH328H1,Gothic Cathedral
  FAH330H1,German Art and Architecture in the Age of Dürer
  FAH331H1,Netherlandish Renaissance Art and Culture
  FAH335H1,The Art of Love in the Renaissance
  FAH337H1,"Rivalry, Imitation and Envy in Italian Renaissance Art"
  FAH338H1,Art and Consumers in the Renaissance (1400-1700)
  FAH340H1,17th-Century Art of the Netherlands
  FAH341H1,Venetian Renaissance Art and Architecture
  FAH345H1,The Romantic Movement in French Art
  FAH346H1,Impressionism
  FAH347H1,Cubism and Related Movements
  FAH348H1,The Dada and Surrealist Tradition
  FAH349H1,Abstraction in Twentieth-Century Art
  FAH350H1,Minimalism
  FAH352H1,19th Century Photography
  FAH353H1,"On Display: Cultures of Exhibition, 1789-1900"
  FAH354H1,Art in Canada Since the 1960s
  FAH355H1,Landscape to EcoArt
  FAH360H1,World of the Senses: Chinese Decorative Arts
  FAH363H1,The Mechanics of the Image in China
  FAH364H1,Visual South Asia
  FAH370H1,European Renaissance Architecture
  FAH371H1,Architecture and Urbanism in Baroque Europe
  FAH373H1,Modern Architecture Since 1890
  FAH376H1,Canadian Architecture: A Survey
  FAH380H1,Special Topics in Art History
  FAH381H1,Problems in Jewish Art
  FAH382H1,Art Writing
  FAH388H1,Art History Theories and Practices
  FAH390Y0,Studies Abroad in Spanish Art and Architecture
  FAH391Y0,Studies Abroad in Ancient Art and Architecture
  FAH392Y0,Studies Abroad in Medieval Art and Architecture
  FAH393Y0,Studies Abroad in Renaissance and Baroque Art and Architecture
  FAH394Y0,Studies Abroad in Modern and Contemporary Art and Architecture
  FAH395Y0,Studies Abroad in Canadian Art and Architecture
  FAH396Y0,Studies Abroad in Asian Art and Architecture
  FAH397Y0,Studies Abroad in Architectural History
  FAH398H0,Research Excursions
  FAH398Y0,Research Excursions
  FAH399Y1,Research Opportunity Program
  FAH401H1,Aegean Wall Paintings
  FAH405H1,"Understanding Dionysos: The God of Wine, Theatre and the Afterlife"
  FAH406H1,Cross-Cultural Issues in Ancient Art Beyond Greece and Rome
  FAH407H1,Studies in Roman Painting and Sculpture
  FAH415H1,History of Islamic Cairo
  FAH420H1,Studies in Western Medieval Art and Architecture
  FAH421H1,Studies in Medieval Cities
  FAH423H1,The Palaces of Minoan Crete
  FAH424H1,Studies in Medieval Book Illumination
  FAH430H1,Pieter Bruegel
  FAH433H1,Leonardo and His Legacy in Renaissance Italy
  FAH434H1,The First Art Historians
  FAH436H1,"Italian Renaissance Art, Fashion, and Material Culture"
  FAH438H1,History of Bad Art from Gothic to Kitsch
  FAH440H1,Dutch Genre Painting of the 17th Century
  FAH446H1,Arctic Anthropocene? Image Cultures of Arctic Voyaging
  FAH447H1,19th-Century Landscape Painting
  FAH448H1,International Art Since 1940
  FAH449H1,Contemporary Art Movements
  FAH452H1,Contemporary Indigenous Art in Canada and the United States
  FAH457H1,"Issues in Canadian Art, ca. 1900-1940"
  FAH458H1,Issues in Recent Canadian Art
  FAH461H1,East Asian Art as a Cultural System
  FAH463H1,"Materiality, Objecthood, Connoisseurship and Collecting in the Arts of East Asia"
  FAH464H1,Transregional East Asian Art
  FAH465H1,Exhibiting China
  FAH470H1,Studies in Renaissance and Baroque Architecture
  FAH472H1,Studies in Modern Architecture
  FAH473H1,Studies in Canadian Architecture and Landscapes
  FAH481H1,Internship
  FAH481Y1,Internship
  FAH483H1,"Introduction to Conservation: Materials, Deterioration, and Preservation in Art and Material Culture"
  FAH484H1,Fashion & Textiles: Culture & Consumption
  FAH485H1,Collecting Canada: Canadian Pictorial Arts Collection at the Royal Ontario Museum
  FAH486H1,Case Studies at the Royal Ontario Museum
  FAH487H1,Introduction to Asian Textiles
  FAH488H1,Considering Sustainable Textiles and Fashions in the Age of Climate Crisis
  FAH489H1,Topics in the History of Art and Architecture
  FAH490H1,Introduction to the Textile Arts of the Indian Ocean World
  FAH494H1,Independent Studies
  FAH494Y1,Independent Studies
  FCS194H1,Urban Youth Languages of the World
  FCS195H1,French Culture from Napoleon to Asterix
  FCS196H1,"Historical, Geographic and Social Variation in French"
  FCS197H1,"Pleasure, Pain and Nostalgia in Belle Époque"
  FCS198H1,The Literacy of Images: Interactions between Text and Other Media 
  FCS199H1,Marketing in the French Speaking World
  FCS290H1,Special Topics in French Cultural Studies I
  FCS291H1,Special Topics in French Cultural Studies I
  FCS292H1,Special Topics in French Cultural Studies I
  FCS310Y1,French Cinema
  FCS369Y0,The Culture of Touraine
  FCS390H1,Special Topics in French Cultural Studies II
  FCS391H1,Special Topics in French Cultural Studies II
  FCS392H1,Special Topics in French Cultural Studies II
  FIN100H1,Elementary Finnish I
  FIN110H1,Elementary Finnish II
  FIN200H1,Intermediate Finnish I
  FIN210H1,Intermediate Finnish II
  FIN225H1,"Culture, Society and Politics of the Nordic Region"
  FIN230H1,Finnish Culture 1800 to Present
  FIN235H1,Finnish Literature 1800 to Present
  FIN236H1,Hot Reads from a Cool Country: Contemporary Finnish Literature
  FIN238H1,The Vikings
  FIN240H1,Masterpieces of Scandinavian Literature
  FIN250H1,Finnish Cinema
  FIN260H1,Scandinavian Cinema
  FIN270H1,Modern and Contemporary Finnish Architecture and Design
  FIN280H1,Finnish Musical Culture from Sibelius to Heavy Metal
  FIN300H1,Advanced Finnish I
  FIN310H1,Finnish Folklore: The Kalevala
  FIN320H1,The Finnish Canadian Immigrant Experience
  FIN340H1,Advanced Finnish II
  FIN350H1,The Finnish Short Story
  FIN360H1,Bilingualism in Finland
  FIN400H1,Translation: Finnish-English
  FIN415H1,Finnish Literature in the 20th Century
  FIN420Y1,Independent Study
  FIN421H1,Independent Study
  FOR200H1,Conservation of Canada's Forests
  FOR201H1,Conservation of Tropical and Subtropical Forests
  FOR300H1,Forest Products in Sustainable Forestry
  FOR301H1,Field Methods in Forest Conservation
  FOR302H1,Societal Values and Forest Management
  FOR303H1,Human Dimensions of Global Forests
  FOR305H1,Biology of Trees and Forests
  FOR306H1,Tropical Forest Ecology and Conservation Field Course
  FOR307H1,Forest Insect Ecology & Management
  FOR310H1,Bioenergy from Sustainable Forest Management
  FOR400Y1,Advanced Seminar in Forest Conservation
  FOR401H1,Research Paper/Thesis in Forest Conservation
  FOR403H1,Directed Readings
  FOR410H1,Bioenergy and Biorefinery Technology
  FOR413H1,Wildlife Ecology & Conservation
  FOR416H1,Green Urban Infrastructure
  FOR417H1,Ecological Principles of Agroforestry
  FOR418H1,Urban Forest Conservation Field Camp
  FOR419H1,Forest Fire Behaviour and Management
  FOR420H1,Green Process Chemistry
  FOR423H1,Sustainable Materials Design and Manufacturing
  FRE210H1,Introduction to Québec Literature and Culture
  FRE245H1,Introduction to French Cultural and Literary Studies
  FRE246H1,Introduction to French Literary Analysis
  FRE272H1,The French Language: A Linguistic Introduction
  FRE273H1,Introduction to the History of the French Language
  FRE274H1,Introduction to the Linguistic Analysis of French
  FRE299Y1,Research Opportunity Program
  FRE304H1,Contemporary French Women's Prose Fiction
  FRE310H1,Relations between Text and Other Media
  FRE314H1,Quebec and French-Canadian Literature
  FRE318H1,Medieval French Literature
  FRE319H1,Laughter and Thought in French Renaissance Literature
  FRE320H1,French Literature of Classicism and Enlightenment
  FRE324H1,French Literature in the Time of Revolutions and Industrialization
  FRE326H1,Contemporary French Literature
  FRE332H1,Francophone Literatures
  FRE334H1,Francophone Cinema
  FRE336H1,Postcolonialism: Francophone Literatures
  FRE345H1,Literary Genres
  FRE376H1,French Phonology and Phonetics
  FRE378H1,French Syntax
  FRE379H1,Sociolinguistics of French
  FRE383H1,Quantitative Methods for the Study of French
  FRE386H1,French Semantics
  FRE387H1,French Morphology
  FRE398H0,Research Excursions
  FRE398Y0,Research Excursions
  FRE399Y1,Research Opportunity Program
  FRE410H1,Advanced Topics in Quebec Literature:
  FRE438H1,Advanced Topics in Francophone Literatures
  FRE441H1,Advanced Topics in French Literature
  FRE443H1,Advanced Topics: Authors
  FRE446H1,Advanced Studies in Literary Theory
  FRE471H1,Medieval French Language
  FRE486H1,Special Topics in French Linguistics
  FRE487H1,Advanced Topics in Bilingualism and L2 acquisition
  FRE488H1,Special Topics in Advanced Linguistics I
  FRE489H1,Special Topics in Advanced Linguistics II
  FRE490Y1,Senior Essay
  FRE491H1,Independent Study
  FRE492H1,Independent Study
  FSL100H1,French for Beginners
  FSL102H1,Introductory French
  FSL121Y1,French Language I
  FSL221Y1,French Language II
  FSL226H1,Strategies for Autonomous Learning in French as a Second Language
  FSL271H1,"French Grammar, within Reason"
  FSL312H1,Writing French: the Language of the Media
  FSL313H1,French for the Workplace
  FSL314H1,French for the Arts
  FSL315H1,French Oral Communication for Professional and Academic Contexts
  FSL321Y1,French Language III
  FSL375H1,Practical Translation: French,English
  FSL415H1,Business French
  FSL421Y1,French Language IV
  FSL442H1,French Language V: Written French
  FSL443H1,French Language V: Oral French
  FSL472H1,Reading and Writing Fiction and Non-Fiction in French
  FSL473H1,Oral French in Context
  FSL475H1,Creative Writing in French
  GER100Y1,Introduction to German
  GER101H1,Introduction to German b
  GER150H1,Introduction to German Culture (E)
  GER194H1,"Our Vampires, Ourselves (E)"
  GER195H1,"Cities, Real and Imagined (E)"
  GER196H1,"""Es war einmal auf Deutsch""",Learning German with Fairy Tales
  GER197H1,Poets and Power: Art under the Nazis (E)
  GER198H1,Technology and the Human in German Literature and Thought (E)
  GER199H1,The Pleasure of Reading: Reading as Self-Emancipation in the German Literary Tradition (E)
  GER200Y1,Intermediate German 1
  GER201H1,Intermediate German 1b
  GER205H1,German Literature I
  GER220H1,German Literature in Translation (E)
  GER251H1,German and European Cinema (E)
  GER260Y1,Elementary Yiddish
  GER270H1,Money and Economy in German Literature and Culture (E)
  GER272H1,Introduction to Business German
  GER275H1,"Marx, Nietzsche, Freud (E)"
  GER290H1,Global Issues,German Contexts (E)
  GER299Y1,Research Opportunity Program
  GER300Y1,Intermediate German 2
  GER301H1,Intermediate German 2b
  GER305H1,German Literature II
  GER310H1,Contemporary German Culture and Media
  GER320H1,The Age of Goethe
  GER321H1,19th Century German Literature
  GER322H1,Kafka in Context
  GER323H1,Weimar Culture and Beyond
  GER326H1,Writing Memory: Post 1945
  GER332H1,Deviance,Madness,Outsiders
  GER334H1,Transnational Literatures
  GER336H1,Focus On Berlin
  GER340H1,German Theater Production
  GER350H1,German Visual Cultures
  GER354Y0,Special Topics Summer Course in Berlin (E)
  GER355Y0,Summer Course in Berlin
  GER360H1,Intermediate Yiddish
  GER361H1,Yiddish Literature in Translation (E)
  GER367H1,Topics in Yiddish or German Jewish Literature and Culture
  GER370H1,German Business Culture 1
  GER372H1,German Business Culture 2
  GER391H1,iPRAKTIKUM Experiential Learning and Internationalization Internship
  GER398H0,Research Excursions
  GER398Y0,Research Excursions
  GER399Y1,Research Opportunity Program
  GER400H1,Advanced German 1
  GER401H1,Advanced German 2
  GER410H1,Topics in German Intellectual History (E)
  GER426H1,Medieval Language and Culture
  GER430H1,Topics in German Literature and Culture
  GER431H1,Topics in Germanic Studies
  GER460H1,Advanced Yiddish
  GER463Y1,Yiddish Language for German Speakers
  GER490H1,Independent Study
  GER491Y1,Individual Studies
  GGR101H1,Histories of Environmental Change
  GGR107H1,"Environment, Food and People"
  GGR112H1,"Geographies of Globalization, Development and Inequality"
  GGR124H1,Cities and Urban Life
  GGR196H1,The Yard: Micro-Geographies of Household Outdoor Spaces
