Course Code,Course Name
  ARH495H1,Archaeology Research Practicum
  AST101H1,The Sun and Its Neighbours
  AST121H1,Origin and Evolution of the Universe
  AST198H1,Great Astronomical Issues
  AST199H1,Astronomy at the Frontier
  AST201H1,Stars and Galaxies
  AST210H1,Great Moments in Astronomy
  AST221H1,Stars and Planets
  AST222H1,Galaxies and Cosmology
  AST251H1,Life on Other Worlds
  AST299Y1,Research Opportunity Program
  AST301H1,Observational Astronomy
  AST310H1,Indigenous Worldviews & Astronomy
  AST320H1,Introduction to Astrophysics
  AST325H1,Introduction to Practical Astronomy
  AST326Y1,Practical Astronomy
  AST398H0,Research Excursions
  AST398Y0,Research Excursions
  AST399Y1,Research Opportunity Program
  AST424H1,Introduction to Astrophysical Research
  AST425Y1,Research Topic in Astronomy
  AST430H1,Supervised Study in Astronomy & Astrophysics
  AST431H1,Supervised Study in Astronomy & Astrophysics
  AST431Y1,Supervised Study in Astronomy & Astrophysics
  BCB330Y1,Special Project in Bioinformatics and Computational Biology
  BCB410H1,Applied Bioinformatics
  BCB420H1,Computational Systems Biology
  BCB430Y1,Advanced Special Project in Bioinformatics and Computational Biology
  BCH210H1,"Biochemistry I: Proteins, Lipids and Metabolism"
  BCH242Y1,Introduction to Biochemistry
  BCH299Y1,Research Opportunity Program
  BCH311H1,Biochemistry II: Nucleic Acids and Biological Information Flow
  BCH340H1,Proteins: From Structure to Function
  BCH370H1,Laboratory Course in Biochemical Techniques
  BCH372Y1,Summer Research in Biochemistry
  BCH373H1,Independent Research Project
  BCH374Y1,Research Project in Biochemistry
  BCH375H1,Independent Research Project
  BCH377H1,Biochemistry Laboratory I
  BCH378H1,Biochemistry Laboratory II
  BCH399Y1,Research Opportunity Program
  BCH422H1,"Membrane Proteins: Structure, and Function"
  BCH425H1,Structural Biology: Principles and Practice
  BCH426H1,Regulation of Signalling Pathways
  BCH428H1,Genomics of Microbial Communities in Human Health and Beyond
  BCH440H1,Protein Homeostasis
  BCH441H1,Bioinformatics
  BCH444H1,Protein Trafficking in the Secretory & Endocytic Pathways
  BCH445H1,Organelles in Cell Function and Death
  BCH446H1,Membrane Dynamics of the Cell Surface
  BCH448H1,Structure and Function of the Nucleus
  BCH449H1,Medical Biochemistry
  BCH450H1,Antibiotics and Antibiotic Targets
  BCH470H1,Independent Research Project
  BCH471H1,Independent Research Project
  BCH472Y1,Advanced Summer Research Project in Biochemistry
  BCH473Y1,Advanced Research Project in Biochemistry
  BCH478H1,Advanced Biochemistry Laboratory
  BCH479H1,Advanced Seminar in Biochemistry
  BIO120H1,Adaptation and Biodiversity
  BIO130H1,Molecular and Cell Biology
  BIO220H1,From Genomes to Ecosystems in a Changing World
  BIO230H1,From Genes to Organisms
  BIO251H1,"Form, Function and Development in Plants"
  BIO255H1,From Genes to Organisms with Advanced Laboratory
  BIO260H1,Concepts in Genetics
  BIO270H1,Animal Physiology I
  BIO271H1,Animal Physiology II
  BMS100H1,Introduction to Book & Media Studies
  BMS200Y1,Book & Media Histories
  BMS201H1,"Information Literacy, Writing, and Research for Book & Media Studies"
  BMS300H1,Special Topics in Book & Media Theories
  BMS301H1,Special Topics in Book & Media Cultures
  BMS302H1,Special Topics in Book & Media Histories
  BMS303H1,Special Topics in Book & Media Industries
  BMS311H1,Open Topics in Book & Media Studies
  BMS314H1,Media Revolutions
  BMS316H1,Social Media & Digital Platforms
  BMS319H1,Media Ethics
  BMS331H1,The History of the Book: Elements of Bibliography and Print Culture
  BMS332H1,"The History of Reading: Readers, Readerships, Reception"
  BMS350H1,Propaganda and Media
  BMS386H1,Book and Media Internship
  BMS387H1,Advertising and Media
  BMS389H1,"Libraries, Special Collections, and Archives"
  BMS392H1,Media Identities
  BMS394H1,Independent Study in Book and Media Studies
  BMS395Y1,Independent Study in Book and Media Studies
  BMS400H1,Advanced Topics in Book & Media Theories
  BMS401H1,Advanced Topics in Book & Media Cultures
  BMS402H1,Advanced Topics in Book & Media Histories
  BMS403H1,Advanced Topics in Book & Media Industries
  BMS411H1,Advanced Open Topics in Book & Media Studies
  BMS494H1,Independent Study in Book and Media Studies
  BMS495Y1,Independent Study in Book and Media Studies
  BPM214H1,Socially Engaged Buddhism
  BPM232H1,Buddhist Psychology
  BPM330H1,Mindfulness-Informed Interventions for Mental Health
  BPM332H1,Buddhism and Psychotherapy
  BPM333H1,Buddhism and Cognitive Science
  BPM334H1,Science of Wisdom: Buddhist and Western Traditions
  BPM335H1,Meditation and the Body
  BPM336H1,"Special Topics in Buddhism, Psychology and Mental Health"
  BPM337H1,"Special Topics in Buddhism, Psychology and Mental Health"
  BPM338H1,Exploring Mindful Awareness
  BPM339H1,Yogacara Buddhism and Western Psychology
  BPM381H1,Buddhist Perspectives on Current Social Issues
  BPM430H1,Jungian Psychology and Tantric Buddhism
  BPM432H1,"Advanced Special Topics in Buddhism, Psychology and Mental Health"
  BPM433H1,"Advanced Special Topics in Buddhism, Psychology and Mental Health"
  BPM438H1,Mindfulness Meditation: Science and Research
  CAR120Y1,Introduction to Caribbean Studies
  CAR220H1,Comparative Caribbean Literature I: Canonical Readings
  CAR221H1,Comparative Caribbean Literature II: Contemporary Readings
  CAR225H1,Caribbean Societies
  CAR226H1,Caribbean Political Thought
  CAR315H1,"Caribbean Foodways Across History, Culture and Diaspora"
  CAR316H1,Caribbean Religions
  CAR317H1,Caribbean Women Writers
  CAR321H1,"Caribbean Visual Arts, Social Media and Performance"
  CAR324H1,Capitalism and Crisis in the Caribbean
  CAR325H1,Caribbean Women Thinkers
  CAR328H1,Caribbean Indentureship and its Legacies
  CAR329H1,Special Topics in Caribbean Studies
  CAR421H1,Global Perspectives on the Haitian Revolution
  CAR422H1,Caribbean Regionalism
  CAR423H1,Special Topics in Caribbean Studies
  CAR426H1,Special Topics in Caribbean Studies
  CAR426Y1,Special Topics in Caribbean Studies
  CAR428H1,Caribbean Migrations and Diasporas
  CAR429H1,Caribbean Diaspora in Canada
  CAS200H1,Introduction to Contemporary Asian Studies
  CAS201H1,Global Asian Studies: Insights and Concepts
  CAS202H1,Global Asian Studies: Sites and Practices 
  CAS310H1,Comparative Colonialisms in Asia
  CAS320H1,Comparative Modernities in Asia
  CAS350H1,Asian Youth Cultures
  CAS360H1,Asian Genders
  CAS370H1,Asian Cities
  CAS390H1,Special Topics
  CAS393H1,Independent Research
  CAS393Y1,Independent Research
  CAS400H1,Interdisciplinary Research in Methods in Contemporary Asian Studies
  CAS413H1,Asia and Canada
  CAS414H1,The Public Event in Asia
  CAS420H1,Asia and the New Global Economy
  CAS430H1,Nationalism and Revolution in Asia
